barrios;nominaciones;agregar;obsevaciones
PUNTA_MOGOTES;Mogotes;;
SAN_ANTONIO;San Antonio;;
SAN_JOSE;San José;;
SANTA_MONICA;Santa Mónica|Santa Monica;;
SANTA_RITA;Santa Rita;;
SANTA_ROSA_DE_LIMA;Santa Rosa de Lima;;
SARMIENTO_DOMINGO_FAUSTINO;barrio Sarmiento|Barrio Sarmiento|barrio Domingo Faustino Sarmiento|Barrio Domingo Faustino Sarmiento;;
TERMAS_HUINCO;Termas Huinco;;
VIRGEN_DE_LUJAN;Virgen de Lujan;;
ZACAGNINI_JOSE_MANUEL;Zacagnini;;
BATAN;vecinos de Batán|en Batán|En Batán|batanense;;
VILLA_SERRANA;Villa Serrana|villa Serrana;;
EL_COLMENAR;El Colmenar|Barrio Colmenar|barrio Colmenar;;
LOMAS_DE_BATAN;Lomas de Batán;;
PARQUE_INDUSTRIAL;Parque Industrial;;
EL_BOQUERON;El Boquerón|El Boqueron;;
LA_GERMANA;La Germana;;
PARQUE_EL_CASAL;El Casal;;
COLONIA_BARRAGAN;Colonia Barragán;;
LAS_MARGARITAS;Las Margaritas;;
AREA_CENTRO;Plaza Colón|Plaza Mitre|Plaza San Martín|Palacio Municipal|Concejo Deliberante;;
LA_HERRADURA;La Herradura;;
SAN_JORGE;San Jorge;;
SAN_CAYETANO;San Cayetano;;
ESTACION_NORTE;Estación Norte;;
CARIBE;Barrio Caribe;;
LAS_LILAS;Las Lilas;;
REGIONAL;Barrio Regional;;
LOS_ANDES;Los Andes;;
PLAZA_PERALTA_RAMOS;Plaza Peralta Ramos;;
EL_GAUCHO;El Gaucho;;
FUNES_Y_SAN_LORENZO;Funes y San Lorenzo;;
GENERAL_ROCA;General Roca|Gral. Roca|Gral Roca;;
CAMINO_A_NECOCHEA;Camino a Necochea;;
ANTARTIDA_ARGENTINA;Antártida Argentina;;
RUMENCO;Rumencó|Rumenco;;
LOS_ZORZALES;Los Zorzales;;
LA_ARBOLEDA;La Arboleda;;
ARENAS_DEL_SUR;Arenas del Sur;;
SAN_EDUARDO_DE_CHAPADMALAL;San Eduardo de Chapadmalal;;
ESTACION_TERMINAL;Estación Terminal;;
LEANDRO_N._ALEM;Barrio Alem|Leandro N. Alem;;
