id;palabra;lemma;nominacion;nominacion_agrup;diccionarios;obs
7226; SPGYBIO;SPGYBIO;sindicatos;trabajadorxs;SUJETOS;
7227; SPMDP;SPMDP;sindicatos;trabajadorxs;SUJETOS;
7228; SPPA;SPPA;sindicatos;trabajadorxs;SUJETOS;
7229; SSP;SSP;sindicatos;trabajadorxs;SUJETOS;
7230; STARPYH;STARPYH;sindicatos;trabajadorxs;SUJETOS;
7231; STGYA;STGYA;sindicatos;trabajadorxs;SUJETOS;
7232; STIABA;STIABA;sindicatos;trabajadorxs;SUJETOS;
7233; STIGAS;STIGAS;sindicatos;trabajadorxs;SUJETOS;
7234; STIHMPRA;STIHMPRA;sindicatos;trabajadorxs;SUJETOS;
7235; STM;STM;sindicatos;trabajadorxs;SUJETOS;
7236; STPFPA;STPFPA;sindicatos;trabajadorxs;SUJETOS;
7237; SUPA;SUPA;sindicatos;trabajadorxs;SUJETOS;
7238; SUPARA;SUPARA;sindicatos;trabajadorxs;SUJETOS;
7239; SUPEH;SUPEH;sindicatos;trabajadorxs;SUJETOS;
7240; SUPETAX;SUPETAX;sindicatos;trabajadorxs;SUJETOS;
7241; SUTAT;SUTAT;sindicatos;trabajadorxs;SUJETOS;
7242; SUTCA;SUTCA;sindicatos;trabajadorxs;SUJETOS;
7243; SUTCAPRA;SUTCAPRA;sindicatos;trabajadorxs;SUJETOS;
7244; SUTEBA;SUTEBA;sindicatos;trabajadorxs;SUJETOS;
7245; SUTERYH;SUTERYH;sindicatos;trabajadorxs;SUJETOS;
7246; SUTIAGA;SUTIAGA;sindicatos;trabajadorxs;SUJETOS;
7247; SUTUM;SUTUM;sindicatos;trabajadorxs;SUJETOS;
7248; SVDYR;SVDYR;sindicatos;trabajadorxs;SUJETOS;
7249; TDMDP;TDMDP;sindicatos;trabajadorxs;SUJETOS;
7250; UATRE;UATRE;sindicatos;trabajadorxs;SUJETOS;
7251; UCRA;UCRA;sindicatos;trabajadorxs;SUJETOS;
7252; UDA;UDA;sindicatos;trabajadorxs;SUJETOS;
7253; UDOCBA;UDOCBA;sindicatos;trabajadorxs;SUJETOS;
7254; UECARA;UECARA;sindicatos;trabajadorxs;SUJETOS;
7255; UF;UF;sindicatos;trabajadorxs;SUJETOS;
7256; UGA;UGA;sindicatos;trabajadorxs;SUJETOS;
7257; UGM;UGM;sindicatos;trabajadorxs;SUJETOS;
7258; UMTT;UMTT;sindicatos;trabajadorxs;SUJETOS;
7259; UOCRA;UOCRA;sindicatos;trabajadorxs;SUJETOS;
7260; UOETSYLRA;UOETSYLRA;sindicatos;trabajadorxs;SUJETOS;
7261; UOLRA;UOLRA;sindicatos;trabajadorxs;SUJETOS;
7262; UOM;UOM;sindicatos;trabajadorxs;SUJETOS;
7263; UOMOL;UOMOL;sindicatos;trabajadorxs;SUJETOS;
7264; UPCN;UPCN;sindicatos;trabajadorxs;SUJETOS;
7265; UPJECO;UPJECO;sindicatos;trabajadorxs;SUJETOS;
7266; URGARA;URGARA;sindicatos;trabajadorxs;SUJETOS;
7267; UTA;UTA;sindicatos;trabajadorxs;SUJETOS;
7268; UTCYDRA;UTCYDRA;sindicatos;trabajadorxs;SUJETOS;
7269; UTEDYC;UTEDYC;sindicatos;trabajadorxs;SUJETOS;
7270; UTERA;UTERA;sindicatos;trabajadorxs;SUJETOS;
7271; UTHGRA;UTHGRA;sindicatos;trabajadorxs;SUJETOS;
7272; UTI;UTI;sindicatos;trabajadorxs;SUJETOS;
7273; UTIC;UTIC;sindicatos;trabajadorxs;SUJETOS;
7274; UTT;UTT;sindicatos;trabajadorxs;SUJETOS;
7275; UVVA;UVVA;sindicatos;trabajadorxs;SUJETOS;
